,id,artist,title,label,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts
175,176,Post Malone feat. Ty Dolla $ign,Psycho,Universal,2018,3,9,16,16,0,0
176,177,RAF Camora,Corleone,Indipendenza,2018,3,9,7,7,0,0
177,178,Ufo361,Balenciaga,Stay High,2018,3,9,6,6,0,0
178,179,Michael Schulte,You Let Me Walk Alone,Very Us Records,2018,3,9,8,8,0,0
179,180,Haftbefehl feat. Farid Bang,Chabos wissen wer der Babo ist,Universal Domestic Urban,2018,3,9,5,5,0,0
180,181,David Guetta / Martin Garrix / Brooks,Like I Do,Parlophone Label Group,2018,3,9,18,17,1,0
181,182,18 Karat,Mama ist nicht stolz,Banger Musik,2018,3,9,1,1,0,0
182,183,Julia Michaels,Heaven,Republic Records,2018,3,9,4,4,0,0
183,184,5 Seconds Of Summer,Want You Back,Capitol,2018,3,9,1,1,0,0
184,185,Sigala & Paloma Faith,Lullaby,Ministry Of Sound,2018,3,9,1,1,0,0
185,186,Ramz,Barking,Polydor,2018,3,9,25,25,0,0
186,187,Kontra K,Zwischen Himmel & Hölle,BMG,2018,3,10,7,7,0,0
187,188,Zuna,Ayé,KMN Gang,2018,3,10,6,6,0,0
188,189,Olexesh feat. Capital Bra,Frisch aus dem Block,385ideal,2018,3,10,2,2,0,0
189,190,Olexesh feat. Bonez MC,Schüsse aus'm Benz,385ideal,2018,3,10,2,2,0,0
190,191,Olexesh feat. Nimo,Geld spielt keine Rolex,385ideal,2018,3,10,1,1,0,0
191,192,Olexesh,Hallo hallo,385ideal,2018,3,10,1,1,0,0
192,193,Olexesh feat. Ufo361,Fake Love,385ideal,2018,3,10,1,1,0,0
193,194,Logic & Marshmello,Everyday,Def Jam,2018,3,10,10,10,0,0
194,195,Nicky Jam x J Balvin,X,Sony Music,2018,3,10,26,26,0,0
195,196,XXXTentacion,Sad!,Bad Vibes Forever,2018,3,10,24,24,0,0
196,197,"Olexesh feat. Ćelo & Abdï, Hanybal",BWA,385ideal,2018,3,10,1,1,0,0
197,198,Fard,Liebe macht blind,Ruhrpott Elite,2018,3,10,1,1,0,0
198,199,George Ezra,Paradise,Columbia,2018,3,10,24,24,0,0
199,200,Olexesh feat. Azad,Hände an der 9,385ideal,2018,3,10,1,1,0,0
200,201,"DJ Khaled feat. Jay Z, Future & Beyoncé",Top Off,Epic,2018,3,10,1,1,0,0
201,202,Tom Walker,Leave A Light On,Relentless Records,2018,3,11,18,18,0,0
202,203,Rooz x MoTrip,Immer wieder,Universal Domestic Urban,2018,3,11,14,14,0,0
203,204,18 Karat feat. Bonez MC,Auf einmal sind alle korrekt,Banger Musik,2018,3,11,1,1,0,0
204,205,Jason Derulo,Colors,Beluga Heights,2018,3,11,18,18,0,0
205,206,Massari & Kay One feat. Tory Lanez,Number One,Universal Domestic Urban,2018,3,11,1,1,0,0
206,207,Fler,Pfirsich,Maskulin,2018,3,11,1,1,0,0
207,208,Azet feat. Zuna & Noizy,Kriminell,KMN Gang,2018,3,12,8,8,0,0
208,209,Ufo361 feat. Capital Bra,Power,Stay High,2018,3,12,6,6,0,0
209,210,Kygo feat. Miguel,Remind Me To Forget,Kygo,2018,3,12,22,22,0,0
210,211,The Chainsmokers,Everybody Hates Me,Disruptor Records,2018,3,12,2,2,0,0
211,212,Lil Dicky feat. Chris Brown,Freaky Friday,Commission Records,2018,3,12,14,14,0,0
212,213,Cro,Noch da,Chimperator Productions,2018,3,12,1,1,0,0
213,214,XXXTentacion,Moonlight,Bad Vibes Forever,2018,3,12,12,12,0,0
214,215,XXXTentacion,Changes,Bad Vibes Forever,2018,3,12,9,9,0,0
215,216,Charlie Puth feat. Kehlani,Done For Me,Artist Partner Group,2018,3,12,1,1,0,0
216,217,Shawn Mendes,In My Blood,Island,2018,3,13,19,19,0,0
217,218,Kontra K,Hunger,BMG,2018,3,13,1,1,0,0
218,219,David Guetta & Sia,Flames,Parlophone Label Group,2018,3,13,31,30,1,0
219,220,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia,2018,3,13,27,27,0,0
220,221,Dennis Lloyd,Nevermind,Warner Music International,2018,3,13,45,39,6,0
221,222,Fler,Flizzy,Maskulin,2018,3,13,1,1,0,0
222,223,Shawn Mendes,Lost In Japan,Island,2018,3,13,1,1,0,0
223,224,Yonii,Direction,FürDichMama,2018,3,13,3,3,0,0
224,225,The Weeknd,Call Out My Name,The Weeknd,2018,4,14,7,7,0,0
225,226,Gzuz feat. LX,Drück drück,Universal Domestic Vertigo,2018,4,14,11,11,0,0
226,227,Azet,Überlebt,KMN Gang,2018,4,14,10,10,0,0
227,228,Alvaro Soler,La cintura,Airforce1,2018,4,14,27,27,0,0
228,229,Azet,Villa in weiss,KMN Gang,2018,4,14,2,2,0,0
229,230,The Weeknd,Try Me,The Weeknd,2018,4,14,1,1,0,0
230,231,Azet,Mama,KMN Gang,2018,4,14,1,1,0,0
231,232,The Weeknd,Wasted Times,The Weeknd,2018,4,14,1,1,0,0
232,233,The Weeknd feat. Gesaffelstein,Hurt You,The Weeknd,2018,4,14,1,1,0,0
233,234,Azet feat. Miami Yacine,Rein raus,KMN Gang,2018,4,14,1,1,0,0
234,235,Azet,Fast Life,KMN Gang,2018,4,14,1,1,0,0
235,236,The Weeknd feat. Gesaffelstein,I Was Never There,Universal,2018,4,14,1,1,0,0
236,237,Rich The Kid,Plug Walk,Universal,2018,4,14,5,5,0,0
237,238,Summer Cem,200 Düsen,Banger Musik,2018,4,14,2,2,0,0
238,239,Azet feat. Zuna,Wer will mitfahren,KMN Gang,2018,4,14,1,1,0,0
239,240,Capital Bra,5 Songs in einer Nacht,Team Kuku,2018,4,15,21,21,0,0
240,241,Katja Krasavice,Dicke Lippen,PMR Music,2018,4,15,2,2,0,0
241,242,Sun Diego,Eloah,BBM Records,2018,4,15,11,11,0,0
242,243,Calvin Harris & Dua Lipa,One Kiss,Columbia,2018,4,15,42,37,5,0
243,244,Drake,Nice For What,Young Money,2018,4,15,18,18,0,0
244,245,Nura feat. Sam,Babebabe,Jinx Music,2018,4,15,1,1,0,0
245,246,A$AP Rocky feat. Moby,A$AP Forever,A$AP Worldwide,2018,4,15,1,1,0,0
246,247,Migos feat. Drake,Walk It Talk It,Universal,2018,4,15,1,1,0,0
247,248,Kylie Minogue,Dancing,BMG,2018,4,15,2,2,0,0
248,249,Wincent Weiss,An Wunder,Universal Domestic Vertigo,2018,4,16,19,19,0,0
249,250,Ufo361,Ohne mich,Stay High,2018,4,16,2,2,0,0
250,251,Kontra K,Oder nicht,BMG,2018,4,16,11,11,0,0
251,252,Samra,Rohdiamant,Bushido,2018,4,16,3,3,0,0
252,253,Sarah,Genau hier,Universal Domestic Polydor,2018,4,16,2,2,0,0
253,254,Luciano [DE],Roli,Universal Domestic Urban,2018,4,16,6,6,0,0
254,255,Mark Forster feat. Gentleman,Like A Lion,Four Music,2018,4,16,5,5,0,0
255,256,Kollegah & Farid Bang,All Eyez On Us,Banger Musik,2018,4,16,2,2,0,0
256,257,Ufo361,Kontostand,Stay High,2018,4,16,1,1,0,0
257,258,Ufo361 feat. Gzuz & RAF Camora,Erober die Welt,Stay High,2018,4,16,1,1,0,0
258,259,Ufo361,Stay High 2.0,Stay High,2018,4,16,1,1,0,0
259,260,Ufo361,Alpträume,Stay High,2018,4,16,1,1,0,0
260,261,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),Jive Germany,2018,4,16,36,33,3,0
261,262,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,2018,4,16,34,31,3,0
262,263,Eli,Change Your Mind,Prime Entertainment Records,2018,4,16,24,24,0,0
263,264,Ufo361 feat. Yung Hurn,Odio,Stay High,2018,4,16,1,1,0,0
264,265,Ufo361 feat. Trettmann,Dream,Stay High,2018,4,16,1,1,0,0
265,266,Ufo361,Gewinn,Stay High,2018,4,16,1,1,0,0
266,267,Ufo361,Superstar,Stay High,2018,4,16,1,1,0,0
267,268,Zayn,Let Me,RCA International,2018,4,16,1,1,0,0
268,269,Revolverheld,Immer noch fühlen,Columbia,2018,4,16,1,1,0,0
269,270,Ariana Grande,No Tears Left To Cry,Universal,2018,4,17,23,23,0,0
270,271,Summer Cem,Tamam Tamam,Banger Musik,2018,4,17,26,26,0,0
271,272,RAF Camora,Maserati,Indipendenza,2018,4,17,6,6,0,0
272,273,Avicii,Wake Me Up!,Virgin Records,2018,4,17,3,3,0,0
273,274,Avicii,Levels,Virgin Records,2018,4,17,2,2,0,0
274,275,Avicii feat. Sandro Cavazza,Without You,Virgin Records,2018,4,17,3,3,0,0
275,276,Moe Phoenix,Mama / Baba,Life Is Pain,2018,4,17,6,6,0,0
276,277,Avicii,Hey Brother,Virgin Records,2018,4,17,1,1,0,0
277,278,Avicii,Waiting For Love,Virgin Records,2018,4,17,1,1,0,0
278,279,Glasperlenspiel feat. Summer Cem,Royals & Kings,Universal Domestic Polydor,2018,4,17,5,5,0,0
279,280,The Chainsmokers feat. Drew Love,Somebody,Columbia,2018,4,17,1,1,0,0
280,281,Anne-Marie,2002,Atlantic,2018,4,17,22,22,0,0
281,282,Liam Payne & J Balvin,Familiar,Capitol,2018,4,17,17,17,0,0
282,283,Avicii,The Nights,Virgin Records,2018,4,17,1,1,0,0
283,284,Capital Bra feat. Ufo361,Neymar,Team Kuku,2018,5,18,42,33,9,0
284,285,Gzuz feat. Bonez MC,Was erlebt,Universal Domestic Vertigo,2018,5,18,8,8,0,0
285,286,Post Malone,Better Now,Universal,2018,5,18,35,30,5,0
286,287,Kontra K feat. AK Ausser Kontrolle & Gzuz,Setz dich,BMG,2018,5,18,4,4,0,0
287,288,RIN,Nike,Division,2018,5,18,4,4,0,0
288,289,Post Malone,Paranoid,Universal,2018,5,18,3,3,0,0
289,290,Lost Frequencies feat. James Blunt,Melody,Kontor Records,2018,5,18,19,19,0,0
290,291,Post Malone feat. Swae Lee,Spoil My Night,Universal,2018,5,18,1,1,0,0
291,292,Sun Diego x Falco,Rock Me Amadeus,Sony Music,2018,5,18,2,2,0,0
292,293,Post Malone feat. Nicki Minaj,Ball For Me,Universal,2018,5,18,1,1,0,0
293,294,Post Malone feat. G-Eazy & YG,Same Bitches,Universal,2018,5,18,1,1,0,0
294,295,Andreas Gabalier,Verdammt lang her,Electrola,2018,5,18,2,2,0,0
295,296,Post Malone,Rich & Sad,Universal,2018,5,18,1,1,0,0
296,297,Kollegah feat. DJ Arow,Gigolo (Sommerhit),Alpha Music Empire,2018,5,18,1,1,0,0
297,298,Post Malone,Over Now,Universal,2018,5,18,1,1,0,0
298,299,Marie Wegener,Königlich,Electrola,2018,5,19,3,3,0,0
299,300,Kollegah & Farid Bang,Sturmmaske auf (Intro),Banger Musik,2018,5,19,3,3,0,0
300,301,Ufo361,Acker jeden Tag,Stay High,2018,5,19,3,3,0,0
301,302,Kalash feat. Damso,Mwaka Moon,Capitol,2018,5,19,9,9,0,0
302,303,Die Toten Hosen,Laune der Natur,JKP - Jochens kleine Plattenfirma,2018,5,19,1,1,0,0
303,304,Shawn Mendes feat. Khalid,Youth,Island,2018,5,19,6,6,0,0
304,305,Kontra K feat. RAF Camora,Fame,BMG,2018,5,19,17,17,0,0
305,306,Michel Truog,Und sie rennt,Electrola,2018,5,19,1,1,0,0
306,307,LSD (Labrinth / Sia / Diplo),Genius,Columbia,2018,5,19,1,1,0,0
307,308,Childish Gambino,This Is America,mcDJ Recording,2018,5,19,4,4,0,0
308,309,Gzuz,¿Warum?,Universal Domestic Vertigo,2018,5,20,6,6,0,0
309,310,Summer Cem feat. KC Rebell & Capital Bra,Chinchilla,Banger Musik,2018,5,20,13,13,0,0
310,311,Netta,Toy,Tedy,2018,5,20,2,2,0,0
311,312,Mikolas Josef,Lie To Me,RCA Domestic,2018,5,20,4,4,0,0
312,313,Selena Gomez,Back To You,Umgri,2018,5,20,19,19,0,0
313,314,Gringo feat. AK Ausserkontrolle,Guzman,SLS Music,2018,5,20,1,1,0,0
314,315,Max Giesinger,Legenden,BMG,2018,5,20,15,15,0,0
