,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,lang,genres,genre,release
186,187,Kollegah & Farid Bang,Sturmmaske auf (Intro),2018,5,19,3,3,0,0,de,['german hip hop'],german hip hop,2018-09-28
187,188,Ufo361,Acker jeden Tag,2018,5,19,3,3,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-05-04
188,189,Kalash feat. Damso,Mwaka Moon,2018,5,19,9,9,0,0,fr,"['francoton', 'french hip hop', 'pop urbaine', 'rap antillais', 'rap francais', 'zouk riddim']",francoton,2018-05-04
189,190,Die Toten Hosen,Laune der Natur,2018,5,19,1,1,0,0,de,"['german alternative rock', 'german pop', 'german punk', 'german rock']",german alternative rock,2017-05-05
190,191,Shawn Mendes feat. Khalid,Youth,2018,5,19,6,6,0,0,en,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",canadian pop,2018-05-25
191,192,Kontra K feat. RAF Camora,Fame,2018,5,19,17,17,0,0,de,"['christlicher rap', 'german hip hop']",christlicher rap,2018-05-11
192,193,Michel Truog,Und sie rennt,2018,5,19,1,1,0,0,de,[],,2018-05-05
193,194,LSD (Labrinth / Sia / Diplo),Genius,2018,5,19,1,1,0,0,en,"['australian dance', 'australian pop', 'dance pop', 'pop', 'pop dance']",australian dance,2019-04-12
194,195,Childish Gambino,This Is America,2018,5,19,4,4,0,0,en,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",atl hip hop,2018-05-06
195,196,Gzuz,¿Warum?,2018,5,20,6,6,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
196,197,Summer Cem feat. KC Rebell & Capital Bra,Chinchilla,2018,5,20,13,13,0,0,de,['german hip hop'],german hip hop,2018-07-27
197,198,Netta,Toy,2018,5,20,2,2,0,0,he,"['eurovision', 'israeli pop']",eurovision,2018-05-23
198,199,Mikolas Josef,Lie To Me,2018,5,20,4,4,0,0,en,"['czech pop', 'eurovision']",czech pop,2018-04-06
199,200,Selena Gomez,Back To You,2018,5,20,19,19,0,0,en,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",dance pop,2018-05-10
200,201,Gringo feat. AK Ausserkontrolle,Guzman,2018,5,20,1,1,0,0,de,"['german hip hop', 'german trap', 'german underground rap', 'latin hip hop', 'reggaeton']",german hip hop,2018-12-30
201,202,Max Giesinger,Legenden,2018,5,20,15,15,0,0,de,"['german pop', 'german pop rock']",german pop,2018-11-23
202,203,Rita Ora / Cardi B / Bebe Rexha / Charli XCX,Girls,2018,5,20,9,9,0,0,fa,"['australian pop', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",australian pop,2018-05-11
203,204,Eleni Foureira,Fuego,2018,5,20,1,1,0,0,en,"['eurovision', 'greek pop', 'laiko']",eurovision,2018-05-19
204,205,El Profesor,Bella ciao (Hugel Remix),2018,5,20,39,33,6,0,it,['house'],house,2018-04-24
205,206,Kontra K,Motten,2018,5,20,1,1,0,0,de,"['christlicher rap', 'german hip hop']",christlicher rap,2018-05-11
206,207,Rasmussen,Higher Ground,2018,5,20,1,1,0,0,en,['eurovision'],eurovision,2018-02-11
207,208,Cesár Sampson,Nobody But You,2018,5,20,1,1,0,0,en,['eurovision'],eurovision,2018-05-04
208,209,Pietro Lombardi,Phänomenal,2018,5,21,14,14,0,0,de,['german pop'],german pop,2018-05-18
209,210,"Gzuz feat. Bonez MC, Maxwell & Ufo361",Über Nacht,2018,5,21,6,6,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
210,211,Clean Bandit feat. Demi Lovato,Solo,2018,5,21,37,31,6,0,en,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",dance pop,2018-05-17
211,212,Kurdo,Bugatti Veyron,2018,5,21,5,5,0,0,de,"['deep german hip hop', 'german hip hop', 'german underground rap', 'kurdish hip hop']",deep german hip hop,2018-05-18
212,213,BTS,Fake Love,2018,5,21,1,1,0,0,en,"['k-pop', 'k-pop boy group']",k-pop,2018-05-18
213,214,Backstreet Boys,Don't Go Breaking My Heart,2018,5,21,1,1,0,0,en,"['boy band', 'dance pop', 'europop']",boy band,2018-05-17
214,215,Nimo,Akzeptier'n uns nicht,2018,5,21,2,2,0,0,de,"['german hip hop', 'swedish hip hop']",german hip hop,2018-05-18
215,216,Ed Sheeran,Happier,2018,5,21,15,15,0,0,en,"['pop', 'uk pop']",pop,2017-03-03
216,217,OneRepublic feat. Logic,Start Again,2018,5,21,2,2,0,0,en,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",dance pop,2018-05-18
217,218,Alle Farben & Rhodes,H.O.L.Y.,2018,5,21,12,12,0,0,en,"['deep euro house', 'edm', 'german dance', 'german pop', 'pop dance', 'tropical house']",deep euro house,2018-03-23
218,219,Almklausi & Specktakel,Mama Laudaaa,2018,5,21,1,1,0,0,de,"['discofox', 'oktoberfest', 'partyschlager', 'schlager']",discofox,2018-02-07
219,220,Capital Bra,One Night Stand,2018,6,22,30,27,3,0,de,['german hip hop'],german hip hop,2018-07-06
220,221,Summer Cem & Bausa,Casanova,2018,6,22,37,30,7,0,de,['german hip hop'],german hip hop,2018-07-27
221,222,Gzuz,Wolke 7,2018,6,22,4,4,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
222,223,Kay One feat. Mike Singer,Netflix & Chill,2018,6,22,8,8,0,0,de,['german pop'],german pop,2018-05-25
