,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify-id,track_href,analysis_url,uri
417,418,Kurdo,Wellou,2018,9,39,4,4,0,0,0.836,0.776,2,-5.771,0,0.14,0.0982,6.71e-05,0.266,0.729,89.996,187138,4,1phPPgHcR590i0y8c9H36r,https://api.spotify.com/v1/tracks/1phPPgHcR590i0y8c9H36r,https://api.spotify.com/v1/audio-analysis/1phPPgHcR590i0y8c9H36r,spotify:track:1phPPgHcR590i0y8c9H36r
418,419,Rita Ora,Let You Love Me,2018,9,39,25,14,11,0,0.531,0.854,10,-3.149,1,0.198,0.288,0.0,0.0773,0.456,94.419,190000,4,6xtcFXSo8H9BZN637BMVKS,https://api.spotify.com/v1/tracks/6xtcFXSo8H9BZN637BMVKS,https://api.spotify.com/v1/audio-analysis/6xtcFXSo8H9BZN637BMVKS,spotify:track:6xtcFXSo8H9BZN637BMVKS
419,420,Mert,Ruf mich nicht an,2018,9,39,2,2,0,0,0.769,0.717,1,-5.489,1,0.374,0.25,0.0,0.303,0.483,104.369,155266,4,7bTpDFKTd8GiLzrDclmCjh,https://api.spotify.com/v1/tracks/7bTpDFKTd8GiLzrDclmCjh,https://api.spotify.com/v1/audio-analysis/7bTpDFKTd8GiLzrDclmCjh,spotify:track:7bTpDFKTd8GiLzrDclmCjh
420,421,AnnenMayKantereit,Marie,2018,9,39,3,3,0,0,0.692,0.674,6,-7.308,1,0.0314,0.257,0.0,0.0906,0.544,98.149,209208,4,0YIPrzShvIvlcsZkEnZ4FL,https://api.spotify.com/v1/tracks/0YIPrzShvIvlcsZkEnZ4FL,https://api.spotify.com/v1/audio-analysis/0YIPrzShvIvlcsZkEnZ4FL,spotify:track:0YIPrzShvIvlcsZkEnZ4FL
421,422,Avril Lavigne,Head Above Water,2018,9,39,1,1,0,0,0.578,0.694,5,-5.351,1,0.0706,0.0112,0.0,0.102,0.268,129.921,220850,4,7gY3cyGcB2wnk2xDXiA0pe,https://api.spotify.com/v1/tracks/7gY3cyGcB2wnk2xDXiA0pe,https://api.spotify.com/v1/audio-analysis/7gY3cyGcB2wnk2xDXiA0pe,spotify:track:7gY3cyGcB2wnk2xDXiA0pe
422,423,French Montana feat. Drake,No Stylist,2018,9,39,7,7,0,0,0.765,0.704,5,-4.589,0,0.127,0.0215,0.0,0.227,0.498,147.055,192172,4,04MLEeAMuV9IlHEsD8vF6A,https://api.spotify.com/v1/tracks/04MLEeAMuV9IlHEsD8vF6A,https://api.spotify.com/v1/audio-analysis/04MLEeAMuV9IlHEsD8vF6A,spotify:track:04MLEeAMuV9IlHEsD8vF6A
423,424,Eminem,Killshot,2018,9,39,1,1,0,0,0.893,0.651,0,-8.647,0,0.367,0.0995,0.0,0.371,0.6,105.835,253580,4,1jo3TwNGCXfNdB5uba3ZVv,https://api.spotify.com/v1/tracks/1jo3TwNGCXfNdB5uba3ZVv,https://api.spotify.com/v1/audio-analysis/1jo3TwNGCXfNdB5uba3ZVv,spotify:track:1jo3TwNGCXfNdB5uba3ZVv
424,425,Rea Garvey,Kiss Me,2018,9,39,3,3,0,0,0.534,0.865,11,-5.018,0,0.0456,0.0081,2.66e-06,0.16,0.361,153.055,225560,4,7eABIvlbeC0o7DmI0sosA2,https://api.spotify.com/v1/tracks/7eABIvlbeC0o7DmI0sosA2,https://api.spotify.com/v1/audio-analysis/7eABIvlbeC0o7DmI0sosA2,spotify:track:7eABIvlbeC0o7DmI0sosA2
425,426,Bushido feat. Capital Bra,Inshallah,2018,10,40,7,7,0,0,0.54,0.759,9,-4.874,0,0.309,0.101,0.0,0.125,0.272,159.228,173299,4,3nwG4L1J4a8MXq4R01Hilb,https://api.spotify.com/v1/tracks/3nwG4L1J4a8MXq4R01Hilb,https://api.spotify.com/v1/audio-analysis/3nwG4L1J4a8MXq4R01Hilb,spotify:track:3nwG4L1J4a8MXq4R01Hilb
426,427,Luciano [DE],MoneyGram,2018,10,40,12,12,0,0,0.781,0.796,0,-6.174,1,0.216,0.0522,0.000369,0.148,0.575,160.037,157800,4,7kh5weCB2Jm19XOg1XtOpe,https://api.spotify.com/v1/tracks/7kh5weCB2Jm19XOg1XtOpe,https://api.spotify.com/v1/audio-analysis/7kh5weCB2Jm19XOg1XtOpe,spotify:track:7kh5weCB2Jm19XOg1XtOpe
427,428,Severija,"Zu Asche, zu Staub (Psycho Nikoros)",2018,10,40,4,4,0,0,0.619,0.5,4,-9.614,1,0.0374,0.309,0.00933,0.106,0.196,130.958,323640,4,5xStNH6LzRunpFejV4IsW0,https://api.spotify.com/v1/tracks/5xStNH6LzRunpFejV4IsW0,https://api.spotify.com/v1/audio-analysis/5xStNH6LzRunpFejV4IsW0,spotify:track:5xStNH6LzRunpFejV4IsW0
428,429,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,2018,10,40,30,13,17,0,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,4,4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM
429,430,Nura feat. Trettmann,Chaya,2018,10,40,7,6,1,0,0.721,0.894,9,-4.254,0,0.032,0.00222,0.00484,0.104,0.445,124.016,183871,4,18danT1iBcCyLbLTCDUr71,https://api.spotify.com/v1/tracks/18danT1iBcCyLbLTCDUr71,https://api.spotify.com/v1/audio-analysis/18danT1iBcCyLbLTCDUr71,spotify:track:18danT1iBcCyLbLTCDUr71
